latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,country,diplomatic,name,name:fr,office,target,wikidata,addr:place,addr:housenumber,addr:street,barrier,name:es,name:hi,addr:city,addr:postcode,information,operator,tourism,fax,opening_hours,phone,website,name:en,wikipedia,email,name:nl,name:ja,name:ru,board_type,name:zh,shop,description,level,vending,addr:country,alt_name,alt_name:de,alt_name:en,alt_name:fr,alt_name:nl,embassy,name:ar,name:de,name:it,name:lb,name:lo,name:sq,internet_access,internet_access:fee,name:uk
28.5649201,77.1609019,,Polygon,"77.1609019,28.5649201,77.1609673,28.5648244,77.1612259,28.5649606,77.1611605,28.5650564,77.1609019,28.5649201",way/657125458,embassy,yes,PY,embassy,Embassy of Paraguay,,diplomatic,IN,,,,,,,पाराग्वाइ दूतावास,,,,,,-9862,"Mo-Fr 09:00-17:00 ""Official timings"", 10:00-13:00 ""Consular section & visitors""",-9861,https://www.paraguayembassy.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6163882,77.2099346,,Point,,node/561254915,,,,,Parliament Reception,,,,,,,,,,,,,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5954831,77.1917746,,Point,,node/947950059,embassy,,AU,embassy,High Commission of Australia,Haut-commissariat d'Australie,diplomatic,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5891125,77.1819343,,Point,,node/947950102,embassy,,TH,embassy,Embassy of Thailand,Ambassade de Thaïlande,,,,,50 N,Nyaya Marg,,,थाईलैंड की दूतावास,,110021,,,,,,,http://newdelhi.thaiembassy.org/en/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5897641,77.180038,,Point,,node/947950144,embassy,,KR,embassy,Embassy of the Republic of Korea,Ambassade de Corée du Sud,,IN,Q55734530,,9,Chandragupta Marg,,,कोरिया गणराज्य के दूतावास,,110021,,,,,,+91 11 4200 7000,http://overseas.mofa.go.kr/in-en/index.do,Embassy of the Republic of Korea,ko:주인도 대한민국 대사관,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5912319,77.1856657,,Point,,node/947950188,embassy,,NL,embassy,Embassy of the Kingdom of the Netherlands,Ambassade des Pays-Bas,,IN,Q38086437,,6/50 F,Shantipath,,,,New Delhi,110021,,,,9.11124E+11,Mo-Fr 09:00-17:00,9.11124E+11,https://www.nederlandwereldwijd.nl/landen/india/over-ons/ambassade-in-new-delhi,,,nde@minbuza.nl,Nederlandse ambassade,,,,,,,,,,,,,,,,,,,,,,,,
28.590285,77.1891752,,Point,,node/947950197,embassy,,JP,embassy,Embassy of Japan,Ambassade du Japon,,IN,Q60646291,,,,,,जापान की दूतावास,,110021,,,,,,-9171,https://www.in.emb-japan.go.jp/index.html,Embassy of Japan,,,,在インド日本国大使館,,,,,,,,,,,,,,,,,,,,,,,
28.5872469,77.1789689,,Point,,node/947950334,embassy,,NG,embassy,High commission of Nigeria,Haut-commissariat du Nigeria,diplomatic,IN,,,EP-4,Chandragupta Marg,,,नाइजीरिया का उच्चायोग,,110021,,,,,,+91 11 2412 2143,,High Commission of Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5933815,77.1864655,,Point,,node/947950476,embassy,,RU,embassy,Embassy of Russia,Ambassade de Russie,,IN,Q16687395,,,Shanti Path,,,रूस की दूतावास,,110021,,,,,,+91 11 2687 3799,http://rusembindia.com,Embassy of the Russian Federation,,,,,Посольство Российской Федерации,,,,,,,,,,,,,,,,,,,,,,
28.5884771,77.1835741,,Point,,node/947950533,embassy,,GH,embassy,Embassy of Ghana,Haut-commissariat du Gahna,,IN,,,50 N,Satya Marg,,,घाना का उच्चायोग,,110021,,,,,,+91 11 2419 3500,http://www.ghana-mission.co.in,High Commission of Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.591931,77.1899039,,Point,,node/947950575,embassy,,SD,embassy,Embassy of Sudan,Ambassade du Soudan,diplomatic,IN,,,,,,,,,,,,,,,,,Embassy of Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5983229,77.1932387,,Point,,node/947950639,embassy,,GB,high_commission,High Commission of the United Kingdom of Great Britain and Northern Ireland,haut-commissariat du Royaume-Uni,,IN,Q4970048,,,Shanti Path,,,वृहत् ब्रिटेन और उत्तरी आयरलैण्ड का यूनाइटेड किंगडम के उच्चायोग,,110021,,,,,,+91 11 2419 2100,https://www.gov.uk/world/organisations/british-high-commission-new-delhi,High Commission of the United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5940724,77.1904031,,Point,,node/947950842,embassy,,PK,embassy,High Commission of Pakistan,Haut-commissariat du Pakistan,,IN,Q27031139,,2/50-G,Shanti Path,,,पाकिस्तानी उच्चायोग,,110021,,,,,,9.11126E+11,http://pakhcnewdelhi.org.pk,High Commission of Pakistan,"en:High Commission of Pakistan, New Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,
28.5887908,77.1789112,,Point,,node/947950909,embassy,,SG,high_commission,High Commission of Singapore,Haut-commissariat de Singapour,,IN,,,E-6,Chandragupta Marg,,,सिंगापुर का उच्चायोग,,110021,,,,,,+91 11 4600 0800,https://www.mfa.gov.sg/New-Delhi,High Commission of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6287517,77.2197223,,Point,,node/2327524031,,,,,Tourism Office ,,,,,,,,,,,,,map,,information,,,,,,,,,,,,,,Gouvernemental tourism office ,,,,,,,,,,,,,,,,,,
28.5860554,77.1893357,,Point,,node/2713825015,embassy,,EG,embassy,Embassy of Egypt,Ambassade d'Égypte,diplomatic,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5588743,77.1608233,,Point,,node/3077649256,embassy,,PE,embassy,Peru Embassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6312294,77.2149261,,Point,,node/3594992926,,,,,Delhi Tourism and Transportation Development Corporation,,,,,,,,,,,,,,,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5801397,77.1639704,,Point,,node/4860891323,embassy,,MX,embassy,Mexico Embassy,,,,,,,,,,,,,,,,,,,,Mexico Embassy,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.643368,77.2193038,,Point,,node/4983371294,,,,,,,,,,,,,,,,,,office,,information,,Mo-Su 06:00-23:00,,,,,,,,,,,ticket,,1,public_transport_tickets,,,,,,,,,,,,,,,,
28.6306078,77.2201398,,Point,,node/5305828023,car_rental,,,,Ctt transport office,,,,,,N9/1,middle circle,,,,New Delhi,110001,,,information,,Mo-Su 08:00-20:00,1123723226,http://www.centretoursandtravel.com,Ctt transport office,,dso@centretoursandtravel.com,,,,,,,,,,,,,,,,,,,,,,,,,
28.5905867,77.1803524,,Point,,node/5832837191,embassy,,QA,embassy,Embassy of the State of Qatar,Ambassade du Qatar,,IN,,,EP-31A,Chandragupta Marg,,,,,110021,,,,,,+91 11 2611 8787,http://new-delhi.embassy.qa/en,Embassy of the State of Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5882409,77.2146189,,Point,,node/5845683090,embassy,,LU,embassy,Embassy of Luxembourg,Ambassade du Grand-Duché de Luxembourg,diplomatic,IN,Q104905081,,84,Jor Bagh,,Embajada Luxemburgo,लक्ज़मबर्ग दूतावास,New Dehli,110003,,,,+91 11 41525201,,+91 11 49986600,https://newdelhi.mae.lu/,Embassy of the Grand Duchy of Luxembourg,,newdelhi.amb@mae.etat.lu,Ambassade van het Groothertogdom Luxemburg,,,,,,,,,IN,Embassy of the Grand Duchy of Luxembourg,Luxemburgische Botschaft,Luxembourg embassy,Ambassade luxembourgeoise,Luxemburgse ambassade,yes,سفارة لكسمبرغ,Botschaft des Großherzogtums Luxemburg,Ambasciata Lussemburgo,Ambassade vum Groussherzogtum Lëtzebuerg,ສະຖານທູດ ລຸກຊຳບວກ,Ambasada e Luksemburgut,,,
28.6289948,77.2204842,,Point,,node/6718061285,,,,,Grace india,,,,,,107,Janpath Lane,,,,New Delhi,110001,office,grace india,information,,Mo-Su 09:00-18:00,9810805344,http://www.graceindia.com,,,lovejannat12@gmail.com,,,,,,,Private travel agency,,,,,,,,,,,,,,,,wlan,yes,
28.5629851,77.1532206,,Point,,node/7001389285,embassy,,RO,embassy,Embassy of Romania,,diplomatic,IN,,,D 6/6,Paschimi Marg,,,,,110057,,,,,Mo-Fr 10:30-12:30; Sa-Su 00:00-24:00,+91 11 2614 0447,,VASANT VIHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5735194,77.1633133,,Point,,node/7140639987,embassy,,HR,embassy,Embassy Of The Republic Of Croatia,,diplomatic,IN,,,,A-15 West End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.595232,77.1859868,,Point,,node/7207466385,embassy,,,,Visa Counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6288943,77.2196261,,Point,,node/7306155785,,,,,The Government of India Tourist Office (,,,,,,,,,,,,,,,information,,Mo-Sa 09:00-18:00,,,The Government of India Tourist Office,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5658292,77.1581617,,Point,,node/7354696086,embassy,,UA,embassy,Embassy of Ukraine,Ambassade d'Ukraine,diplomatic,IN,Q12142687,,8,E-1,,,यूक्रेन का दूतावास,,110057,,,,,,9.11126E+11,https://india.mfa.gov.ua/en,,uk:Посольство України в Індії,emb_in@mfa.gov.ua,,,Посольство Украины,,,,,,,,,,,,,,,,,,,,,,Посольство України
