latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:housenumber,addr:postcode,addr:street,building,internet_access,name,rooms,smoking,stars,tourism,type,internet_access:fee,name:ckb,name:hi,name:zh,opening_hours,website,wikidata,amenity,description,internet_access:ssid,natural,operator,brand,contact:facebook,contact:instagram,email,fax,phone,start_date,wheelchair,level,addr:unit,wikipedia,internet_access:type,admin_level,alt_name,network,railway,ref,usage,name:bn,public_transport,train,designation,source,addr:country,addr:suburb,cuisine,diet:vegan,addr:place,brand:wikidata,official_name,outdoor_seating,takeaway,addr:housename,payment:cash,name:he,name:en,name:ja,star,name:ru,shop,indoor_seating,seats,tables,toilets,name:fr,ele,name:de,name:es,name:it,addr:full,information,craft
28.6260694,77.303731,,Point,,node/4485658692,,"D 306,",110092,"D 306 PNB Building, west vinod nagar",,wlan,Shrimate Surveillance System,,,,,,,,,,Mo-Sa 21:00-08:00,http://www.shrimate.com,,post_office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shrimate Surveillance System,,,,,,,,,,,,,,,,
28.5491265,77.1275375,,Point,,node/5306242322,,,,,,wlan,Shanti Palace,,,,hotel,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6244588,77.0689789,,Point,,node/2803462740,,,,,,wlan,Shanti Home,,,,hotel,,no,,,,,http://www.shantihome.com/index.html,,,,,,,,,,contact@shantihome.com,,-4413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5800482,77.1612542,,Point,,node/1865984100,,,,,,wlan,Saramati PG Mens Hostel,69,no,,hostel,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saramati PG Mens Hostel,Self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.64207,77.212863,,Point,,node/4399050993,,4690/2,110055,"Shora Kothi, Paharganj",,wlan,Santana Delhi Guesthouse,,,,guest_house,,,,,,24/7,http://indiasantana.net/delhi/,,,,,,,,,,santana.delhi@gmail.com,,9643583313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santana Delhi Guesthouse,サンタナデリー,,,,,,,,,,,,,,,
28.7019873,77.2054678,,Point,,node/4297587289,,2152,110009,Qutram Lane,,wlan,RS.PG,,,,hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5116353,77.2027037,,Point,,node/6152749866,,,,,,wlan,Royal's Cafe,,,,,,,,,,,,,fast_food,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,yes,,,,,,,,,,,
28.4934539,77.2204186,,Point,,node/6089252386,,,,,,wlan,Roots,,,,hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6339659,77.2171659,,Point,,node/1483256400,New Delhi,G-59,110001,"Connaught Circus (Indira Chowk), Connaught Place",,wlan,Radisson Blu Marina Hotel Connaught Place,,,4,hotel,,,,रैडिसन ब्लू मरीना होटल कनॉट प्लेस,,,https://www.radissonblu.com/en/marinahotel-newdelhi?s_cid=os.apac-IN-blu-INDNEDL-gmb,,,,,,Radisson Hotels,Radisson Blu,,,,,+91 11 4690 9090,,,,,,,,,,,,,রেডিসন ব্লু মেরিনা হোটেল কনট প্লেস,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5514903,77.2097404,,Point,,node/4466513236,New Delhi,A-34,110016,"August Kranti Marg, Hauz Khas",,wlan,Prakash Kutir B&B,,no,,guest_house,,yes,,,,,,,,,,,Ajay Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5515189,77.2097903,,Point,,node/4469554189,,"A-34, Hauz Khas",110016,August Kranti Marg,,wlan,Prakash Kutir B&B,,,,guest_house,,,,,,,https://www.besthomestaydelhi.com/,,,,,,,,,,prakashkutir@gmail.com,,9.11198E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prakash Kutir B&B,,,,,,,,,,,,,,,,
28.6811819,77.2610507,,Point,,node/4476183091,,C-32,110053,Street No.3,,wlan,PAR Tech. Cyber Cafe,,,,,,,,पार टेक सायबर कैफ़े,,Sa 10:00-22:00; Su-Fr 09:00-22:00,,,cafe,,,,,,,,partechcyberworld@gmail.com,,9.19911E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR Tech. Cyber Cafe,,,,,,,,,,,,,,,,
28.6434615,77.2115005,,Point,,node/5235659422,,,,,,wlan,OYO 7684 Hotel Repose Villa,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5400859,77.2580101,,Point,,node/6459196261,,,,,,wlan,NYC Queens,,,,,,,,,,,,,cafe,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6827718,77.2060173,,Point,,node/6796490085,,31,110007,Bungalow Road,,wlan,North Avenue Hotel,,,,hotel,,,,,,,https://www.spreehotels.com/,,,,,,Spree Hotels,,,,gm.northavenue@spreehotel.com,,9.11147E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotel North Avenue - by Spree,,,,,,,,,,,,,,,,
28.5401478,77.2432582,,Point,,node/5492518424,,,,,,wlan,Nomadia Hostel,,,,hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5472818,77.2444724,,Point,,node/6535485502,,,,,,wlan,Nimtho,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indian,,,,,,,,,,Nimtho,,,,,,,,,Nimtho,,,,,,,
28.5469511,77.1822182,,Polygon,"77.1822182,28.5469511,77.1823312,28.5466765,77.1821586,28.5466217,77.1820852,28.5468,77.1819911,28.54677,77.1820948,28.546518,77.1823539,28.5466003,77.1824458,28.5463772,77.1820988,28.5462669,77.1821378,28.5461722,77.1824105,28.5462588,77.1824584,28.5461424,77.1829428,28.5462963,77.1828434,28.5465377,77.1826499,28.5464762,77.1825811,28.5466433,77.1827831,28.5467075,77.1827471,28.5467949,77.1824483,28.5466999,77.1823598,28.5469147,77.182578,28.5469841,77.1825484,28.547056,77.1822182,28.5469511",way/358870963,New Delhi,,110016,JC Bose Marg,yes,wlan,Nilgiri,300,,,hostel,,,,,,,,,,,,,IIT delhi,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6419258,77.2217499,,Point,,node/6131069513,,,,,,wlan,New Delhi,,,,,,,,,,,,Q2742296,,,,,NR,,,,,,,,,,,en:New Delhi railway station,,A1,,IR,station,NDLS,,,station,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5348441,77.2168164,,Point,,node/5960818472,,,,,,service,New cyber cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6115315,77.2186626,,Polygon,"77.2186626,28.6115315,77.2198743,28.6114736,77.2199098,28.6120745,77.2196411,28.6123282,77.2189719,28.6123638,77.2186981,28.6121146,77.2186626,28.6115315",way/44186070,,,110011,Janpath,yes,wlan,National Museum,,,,museum,,,مۆزەخانەی نیشتیمانی,राष्ट्रीय संग्रहालय,国家博物馆,Tu-Su 10:00-18:00,http://www.nationalmuseumindia.gov.in/,Q1356138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5644871,77.2678404,,Point,,node/6153840585,,,,New Friends Colony D920,,wlan,Moustache Delhi,,,,hostel,,,,Moustache Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moustache Delhi,,,,,,,,,Moustache Delhi,,Moustache Delhi,Moustache Delhi,Moustache Delhi,,,
28.5232101,77.2075913,,Point,,node/7124180248,,12,110017,,,wlan,Mobitech Creations Private Limited,,,,,,no,,,,Mo-Su 11:00-19:30,,,,OnePlus service center,,,,OnePlus,,,,,,,limited,1,,,,,,,,,,,,,,,,Saket,,,Community Center 1,,,,,,,,,,,,,,,,,,,,,,,,electronics_repair
28.6399645,77.2100934,,Point,,node/4435650390,,,,,,wlan,Metropolis Guest House,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolis Guest House,,,,,,,,,,,,,,,,
28.5996402,77.2262942,,Point,,node/4114512206,,,,Khan Market,,wlan,Market Café ,,,,,,,,,,,www.marketcafe.in,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5672992,77.2611124,,Polygon,"77.2611124,28.5672992,77.2613069,28.5670579,77.2616405,28.5672653,77.261446,28.5675066,77.2611124,28.5672992",way/351163606,Delhi,23,110065,Friends Colony,yes,wlan,Mantra Amaltas,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5384822,77.2429911,,Point,,node/5816931654,,E 99,110048,Third Floor,,wlan,Mango Hostel,,,,hostel,,,,,,24/7,http://www.mangohostels.com,,,,,,,,,,,,9.18929E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6196155,77.0918249,,Polygon,"77.0918249,28.6196155,77.0934526,28.6196851,77.0929515,28.6219072,77.0917599,28.6216608,77.0918249,28.6196155",way/467108001,New Delhi,,110058,,,terminal,Maharaja Surajmal College,,,,,,,,,,,,Q6733250,college,,,,Maharaja Surajmal College,,,,,,,,yes,,Janakpuri,en:Maharaja Surajmal Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.636957,77.2850794,,Point,,node/4208743593,,B21,110092,Vikas Marg,,wlan,Maharaja Residency ,,,,hotel,,,,,,,www.maharajaresidency.com,,,,,,,,,,sales@maharajaresidency.com,,9.11122E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6459,77.1832113,,Point,,node/4588959990,,,,,,wlan,Livasa Inn,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livasa Inn,,,,,,,,,,,,,,,,
28.6467321,77.1893103,,Point,,node/6326792085,,"15A/63,",110005,"Ajmal Khan Rd, Block 15A",,wlan,Kitchen with a cause,,,,,,,,,,Mo-Su 11:30-00:00,,,restaurant,,,,,,,,,,1140214461,,,,,,,,,,,,,,,,,,,,pizza;burger;chinese;indian,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6802124,77.2744804,,Point,,node/5170946821,,,,,,wlan,kardampuri,,,,,,,,,,,,,bus_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5653955,77.1856936,,Point,,node/4296847910,,F-128,,,,wlan,Jugaad Hostel,,outside,,hostel,,no,,,,,https://www.jugaadhostels.com/,,,,,,,,,,stay@jugaadhostels.com,,+91851000 1800,,no,,,,,,,,,,,,,,,,,,,,,,,,,Jhandu Mansions,yes,,,,,,,,,,,,,,,,,,
28.6410357,77.2125335,,Point,,node/1184509690,,,,,,terminal,Internet,,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.7034846,77.2284033,,Point,,node/1431238461,,,,,,terminal,Internet,,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5598136,77.2061901,,Point,,node/4713907990,,H 2A,110016,Green Park Extension,,wlan,Hotel Zara Grand,,,,hotel,,,,,,24/7,http://www.hotelzaragrand.com,,,,,,,,,,,,011 4678 6786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotel Zara Grand,,,,,,,,,,,,,,,,
28.6418295,77.2144552,,Point,,node/5348555758,,,,,,wlan,Hotel Vintage Inn,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6459278,77.2158267,,Point,,node/5978006155,New Delhi,7875-79,110055,Arakashan Road,,wlan,Hotel Sun,100,separated,4,hotel,,yes,,,,,,,,,,,,hotel,,,hotelsunint@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6521278,77.1943584,,Point,,node/4849657023,,F-3,110005,Deshbandhu Gupta Road,,wlan,Hotel SP,,,,hotel,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotel SP,,,,,,,,,,,,,,,,
28.6467365,77.1835662,,Point,,node/4972011521,,,,,,wlan,Hotel Singh Sons,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotel Singh Sons,,,,,,,,,,,,,,,,
28.5598327,77.2060616,,Point,,node/4713943490,,,110016,Green Park Extension,,wlan,Hotel Shiv Shankara,,,,hotel,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotel Shiv Shankara,,,,,,,,,,,,,,,,
28.6456337,77.1876083,,Point,,node/5706235123,,14A/103,110005,Maharana Pratap Road,,wlan,Hotel Perfect,,,,hotel,,,,,,,https://www.hotelperfect.co.in/,,,,,,,,,,hotelperfect@yahoo.com,,+91 11 4250 2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6409145,77.2105408,,Point,,node/6277297296,,,,,,wlan,Hotel Merry Gold,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5491998,77.1289083,,Point,,node/6261321485,,,,,,wlan,Hotel CityLite 2019,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5492941,77.1285424,,Point,,node/4505472993,"Mahipalpur Extn,New Delh,India",A-74,110037,"Road No. 4, A-Block",,wlan,Hotel Arch,50,,,hotel,,no,,,,,http://www.hotelarch.co.in,,,,,,,,,,info@hotelarch.co.in,,7290099602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hotel Arch,,03 Star,,,,,,,,,,,,,,
28.5380073,77.2464006,,Point,,node/7171180188,,,,,,wlan,HOG Poshtel Delhi,,,,hostel,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5280078,77.2174386,,Polygon,"77.2174386,28.5280078,77.2175165,28.5277356,77.2177307,28.5277935,77.2180795,28.5278847,77.2180054,28.5281316,77.2174386,28.5280078",way/353411667,New Delhi,,110017,A4 DLF Place,yes,wlan,Hilton Garden Inn New Delhi/Saket,115,isolated,4,hotel,,no,,,,24/7,https://www.hilton.com/en/hotels/delskgi-hilton-garden-inn-new-delhi-saket/?WT.mc_id=zELWAKN0APAC1GI2DMH3LocalSearch4DGGenericx6DELSKGI,Q32947262,,,,,Hilton,Hilton Garden Inn,https://www.facebook.com/hgisaket,https://www.instagram.com/hiltongardeninnnewdelhiskt/,delsk_reservations@hilton.com,+91 11 39191920,+91 11 39191919,2009,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5889646,77.2535202,,Point,,node/1988585233,,,,,,wlan,Hazrat Nizamuddin Junction,,,,,,,,,,,,Q2723139,,,,,NR,,,,,,,,,,,en:Hazrat Nizamuddin railway station,,,,IR,station,NZM,,,station,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6412372,77.2139972,,Point,,node/4519410289,,,,,,wlan,Hari Piorko,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hari Piorko,,,,,,,,,,,,,,,,
28.5110406,77.2025519,,Point,,node/5640908165,,A-1/13,110068,IGNOU Road,,wlan,Happy Dough,,,,,,,,,,Mo-Su 08:00-24:00; PH closed,,,cafe,,,,,,,,,,-9860,,no,0,6,,,,,,,,,,,,,,,,deli,,,,,no,,,,,,,,,,yes,12,4,no,,,,,,,,
28.6406041,77.2086653,,Point,,node/5747185621,,,,Main Bazaar,,wlan,Hôtel Bella Vista,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hôtel bel la vista,,,,,,,,,Hôtel bella vista,,,,,,,
28.6902285,77.2158673,,Polygon,"77.2158673,28.6902285,77.216731,28.6898944,77.2167739,28.6899767,77.2170073,28.6898944,77.2168678,28.6895885,77.2171843,28.6894661,77.2175008,28.6902097,77.217533,28.690332,77.2175437,28.6904732,77.2175276,28.6905485,77.2170126,28.6907367,77.2168785,28.6908591,77.2170555,28.6911955,77.2165835,28.691372,77.2164923,28.6913202,77.2164064,28.6912896,77.2158673,28.6902285",way/628960632,,,,,yes,wlan,Gwyer Hall,81,,,hostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6289948,77.2204842,,Point,,node/6718061285,New Delhi,107,110001,Janpath Lane,,wlan,Grace india,,,,information,,yes,,,,Mo-Su 09:00-18:00,http://www.graceindia.com,,,Private travel agency,,,grace india,,,,lovejannat12@gmail.com,,9810805344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,office,
28.6407442,77.211775,,Point,,node/6369776586,,,,,,wlan,German Bakery,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6437264,77.2124411,,Point,,node/4526598890,,2769/6,110055,Rajguru Marg,,wlan,Ever Green,,,,guest_house,,,,Ever Green,,24/7,http://evergreenguesthousetravel.net,,,,,,,,,,hikari_2000Ontime@yahoo.com,,+91 9891006940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ever Green Guest House,,,,,,,,,,,,,,,,
28.5494669,77.236558,,Point,,node/5156398921,,,,,,wlan,ELaliON,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6309047,77.0764877,,Point,,node/4783048321,,C-20/A,110018,New Krishna Park,,wlan,Dr S K Jain's Clinic,,,,,,,,,,Mo-Sa 18:00-20:00,,,clinic,,,,Dr S K Jain,,,,,,9811147070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr S K Jain's Clinic,,,,,,,,,,,,,,,,
