latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,emergency,landuse,name,wheelchair,addr:district,addr:full,addr:state,barrier,description,healthcare,phone,source,contact:phone,designation,url,alt_name,opening_hours,short_name,building,website,addr:place,beds,operator,contact:mobile,operator:type,healthcare:speciality
28.6270869,77.1111133,,Polygon,"77.1111133,28.6270869,77.1134949,28.627053,77.1135376,28.6286751,77.1135447,28.6289459,77.1111309,28.6289916,77.1111133,28.6270869",way/264998538,,,110064,,hospital,yes,,Deen Dayal Upadhyaya Hospital,,West,"Hari Nagar, Clock Tower",Delhi,wall,,,,OpenGovernmentData,,,,,,,,,,,,,,
28.7161511,77.1132272,,Polygon,"77.1132272,28.7161511,77.1118501,28.7146087,77.1112477,28.7139117,77.1141927,28.7118651,77.1162044,28.7141281,77.1132272,28.7161511",way/300260591,"Sector - 5, Rohini, Delhi",,110085,,hospital,yes,,Dr. Baba Saheb Ambedkar Hospital,,North West,"Sector 6, Rohini, Near Rohini West Metro Station",Delhi,,,,,OpenGovernmentData,1127055585,,,,,,,,,,,,,
28.5406578,77.2431173,,Polygon,"77.2431173,28.5406578,77.2434256,28.5407703,77.2433775,28.5408719,77.2432918,28.5408406,77.2432611,28.5409055,77.2431477,28.5408641,77.2431726,28.5408114,77.2430635,28.5407716,77.2431173,28.5406578",way/352452534,New Delhi,"#27, DDA Market No. 3",110019,Chittaranjan Park (CR Park),hospital,yes,,Dental Studio - Dr Sanjay Kumar (Dentist),yes,,,,,,,+91 9810083705,,,,,,,,yes,https://www.delhidentistclinic.com/,,,,,,
28.5362191,77.2138788,,Polygon,"77.2138788,28.5362191,77.2131157,28.5355193,77.2134711,28.5348772,77.2140759,28.5349832,77.2146754,28.5355876,77.2138788,28.5362191",way/438994150,,,110017,,hospital,yes,,Pt. Madan Mohan Malviya Hospital,,South,"Malviya Nagar, New Delhi",Delhi,,,hospital,,OpenGovernmentData,1126689999,,,,,,,,Malviya Nagar,,,,,
28.5797844,77.1225207,,Polygon,"77.1225207,28.5797844,77.122172,28.5790142,77.1228989,28.5789035,77.1229427,28.5789953,77.1232342,28.5796054,77.1225207,28.5797844",way/532774412,Delhi Cantonment,,110010,,hospital,yes,,Station Medicare Centre,,,,,,,hospital,,,,,,,,,,,,,,,,
28.6326059,77.3088327,,Polygon,"77.3088327,28.6326059,77.3088819,28.6326219,77.3093554,28.6327762,77.3101843,28.6330464,77.3101342,28.6331592,77.3099683,28.6335327,77.3099204,28.6336407,77.3092457,28.6334257,77.3090032,28.633999,77.3088792,28.6339585,77.3083354,28.6337814,77.3088327,28.6326059",way/767656280,,108-A,110092,,hospital,yes,,Max Superspeciality Hospital,yes,East,,Delhi,wall,,hospital,,OpenGovernmentData,+91 11 4303 3333,,,,,,,,Indraprastha Extension,500,,,,
28.5408389,77.2834999,,Point,,node/939235096,,,,,hospital,yes,,Indraprastha Apollo Hospital,,,,,,,,,,,,,Apollo Hospital,,,,,,,,,,
28.6386159,77.0731564,,Point,,node/3265210135,New Delhi,111 first floor,110018,"Ansal majestic tower, Vikaspuri",hospital,yes,,Krypton Global Health,,,,,,,,,,,,,,,,,,,,Krypton Global Health,,,
28.7278251,77.1526694,,Point,,node/6895180755,Delhi,,110088,,hospital,yes,,"Max Super Specialty Hospital Blood Bank, Shalimar Bagh",,NORTH WEST DELHI,"Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd), FC-50, Block C and D, Shalimar Bagh",Delhi,,,hospital,,OpenGovernmentData,1166422222,,,,24/7,,,http://www.maxhealthcare.in/index.php/hospital-network/max-super-speciality-hospital-shalimar-bagh,,,Max Healthcare,9810994195,private,
28.567441,77.2096335,,Point,,node/7130306819,,,,,hospital,yes,,AIIMS Emergency,,,,,,,hospital,,,,,,,,,,,,,,,,
28.7061564,77.1290461,,Point,,node/7138632146,Delhi,,110085,Nr Madhuban Chowk,hospital,yes,,Saroj Hospital,,North,"Sector-14 Extn., Rohini Madhuban Chowk",Delhi,,"011 4944 4444
http://www.sarojhospital.com/",,,OpenGovernmentData,27903333,,,,,,,,,,,,,general
